0x0000 Type: 0   Name: UNKNOWN                                      flags: 0x0002 TYPE_TCP_WCHAR_STR
0x01ED Type: 1   Name: DEFENSE_PTS                                  flags: 0x01C3 TYPE_TCP_FLOAT
0x01EE Type: 2   Name: DEFENSIVE_CARGO_SPACE                        flags: 0x01C4 TYPE_TCP_DOUBLE_OR_INT_SIGNED
0x01EF Type: 3   Name: DEFENSIVE_PLAYER_CAPACITY                    flags: 0x01C5 TYPE_TCP_UINT32
0x01F0 Type: 3   Name: DEF_CC_MAP_GAME_ID                           flags: 0x01C6 TYPE_TCP_UINT32
0x01F1 Type: 0   Name: DELAY_DEPLOY_FLAG                            flags: 0x01C7 TYPE_TCP_WCHAR_STR
0x01F2 Type: 1   Name: DELAY_TRACK_SECS                             flags: 0x01C9 TYPE_TCP_FLOAT
0x01F3 Type: 3   Name: DELETE_FLAG                                  flags: 0x01C8 TYPE_TCP_UINT32
0x01F4 Type: 3   Name: DEPLOYABLE_ID                                flags: 0x01CA TYPE_TCP_UINT32
0x01F5 Type: 3   Name: DEPLOYABLE_SENSOR_CONFIG_ID                  flags: 0x01CB TYPE_TCP_UINT32
0x01F6 Type: 3   Name: DEPLOYABLE_TYPE_VALUE_ID                     flags: 0x01CC TYPE_TCP_UINT32
0x01F7 Type: 3   Name: DEPLOY_POINT_ID                              flags: 0x0106 TYPE_TCP_UINT32
0x01F8 Type: 0   Name: DESCRIPTION                                  flags: 0x0107 TYPE_TCP_WCHAR_STR
0x01F9 Type: 3   Name: DESC_MSG_ID                                  flags: 0x0108 TYPE_TCP_UINT32
0x01FA Type: 0   Name: DESC_MSG_TEXT                                flags: 0x0109 TYPE_TCP_WCHAR_STR
0x01FB Type: 3   Name: DESC_TEXTURE_RES_ID                          flags: 0x010A TYPE_TCP_UINT32
0x01FC Type: 0   Name: DESERTER_FLAG                                flags: 0x01CD TYPE_TCP_WCHAR_STR
0x01FD Type: 3   Name: DESERTER_SEC                                 flags: 0x01CE TYPE_TCP_UINT32
0x01FE Type: 3   Name: DESTINATION_TYPE_VALUE_ID                    flags: 0x057F TYPE_TCP_UINT32
0x01FF Type: 3   Name: DESTROYED_ASM_ID                             flags: 0x01CF TYPE_TCP_UINT32
0x0200 Type: 0   Name: DESTROY_ON_OWNER_DEATH_FLAG                  flags: 0x01D0 TYPE_TCP_WCHAR_STR
0x0201 Type: 0   Name: DESTROY_ON_USE_FLAG                          flags: 0x01D1 TYPE_TCP_WCHAR_STR
0x0202 Type: 3   Name: DESTRUCTIBLE_OBJECT_ID                       flags: 0x01D2 TYPE_TCP_UINT32
0x0203 Type: 5   Name: DETAIL_LEVEL                                 flags: 0x01D5 TYPE_TCP_UINT8
0x0204 Type: 3   Name: DETAIL_TYPE_VALUE_ID                         flags: 0x01D3 TYPE_TCP_UINT32
0x0205 Type: 0   Name: DEVICE_DESC_MSG_TEXT                         flags: 0x01D4 TYPE_TCP_WCHAR_STR
0x0206 Type: 3   Name: DEVICE_ID                                    flags: 0x01D6 TYPE_TCP_UINT32
0x0207 Type: 0   Name: DEVICE_MODE_DESC_MSG_TEXT                    flags: 0x01D7 TYPE_TCP_WCHAR_STR
0x0208 Type: 3   Name: DEVICE_MODE_ID                               flags: 0x01D8 TYPE_TCP_UINT32
0x0209 Type: 0   Name: DEVICE_MODE_NAME_MSG_TEXT                    flags: 0x01D9 TYPE_TCP_WCHAR_STR
0x020A Type: 0   Name: DEVICE_NAME_MSG_TEXT                         flags: 0x01DA TYPE_TCP_WCHAR_STR
0x020B Type: 3   Name: DEVICE_POINTS                                flags: 0x01DB TYPE_TCP_UINT32
0x020C Type: 3   Name: DEVICE_PROJECTILE_ID                         flags: 0x01F0 TYPE_TCP_UINT32
0x020D Type: 3   Name: DEVICE_SLOT_UNLOCK_GROUP_ID                  flags: 0x01DC TYPE_TCP_UINT32
0x020E Type: 0   Name: DEVICE_SPECIFIC_FLAG                         flags: 0x01DD TYPE_TCP_WCHAR_STR
0x020F Type: 0   Name: DEV_NAME                                     flags: 0x01DE TYPE_TCP_WCHAR_STR
0x0210 Type: 3   Name: DIFFICULTY_VALUE_ID                          flags: 0x01DF TYPE_TCP_UINT32
0x0211 Type: 3   Name: DISCOUNT                                     flags: 0x01E0 TYPE_TCP_UINT32
0x0212 Type: 0   Name: DISPLAY_AS_ALERT                             flags: 0x01E1 TYPE_TCP_WCHAR_STR
0x0213 Type: 0   Name: DISPLAY_EULA_FLAG                            flags: 0x01E2 TYPE_TCP_WCHAR_STR
0x0214 Type: 3   Name: DISPLAY_FLAGS                                flags: 0x01E3 TYPE_TCP_UINT32
0x0215 Type: 3   Name: DISPLAY_GROUP_RES_ID                         flags: 0x01E4 TYPE_TCP_UINT32
0x0216 Type: 3   Name: DISPLAY_MODE                                 flags: 0x01E5 TYPE_TCP_UINT32
0x0217 Type: 3   Name: DISPLAY_ORDER                                flags: 0x01E6 TYPE_TCP_UINT32
0x0218 Type: 3   Name: DISTRIBUTION_TYPE_VALUE_ID                   flags: 0x01E8 TYPE_TCP_UINT32
0x0219 Type: 0   Name: DO_NOT_PAUSE_AI_FLAG                         flags: 0x01E9 TYPE_TCP_WCHAR_STR
0x021A Type: 0   Name: DOMAIN_NAME                                  flags: 0x01EA TYPE_TCP_WCHAR_STR
0x021B Type: 0   Name: DOUBLE_AGENT_FLAG                            flags: 0x01EB TYPE_TCP_WCHAR_STR
0x021C Type: 2   Name: DOUBLE_AGENT_POINTS                          flags: 0x01EC TYPE_TCP_DOUBLE_OR_INT_SIGNED
0x021D Type: 1   Name: DRAW_SCALE                                   flags: 0x01E7 TYPE_TCP_FLOAT
0x021E Type: 5   Name: DROPPED_OUT_FLAG                             flags: 0x0598 TYPE_TCP_UINT8
0x021F Type: 1   Name: DROP_CHANCE                                  flags: 0x01ED TYPE_TCP_FLOAT
0x0220 Type: 3   Name: DURABILITY                                   flags: 0x01EE TYPE_TCP_UINT32
0x0221 Type: 3   Name: DURATION_VALUE_ID                            flags: 0x01EF TYPE_TCP_UINT32
0x0222 Type: 10  Name: DWORDS                                       flags: 0x0573 TYPE_TCP_DYNAMIC_UINT32_SIZE
0x0223 Type: 3   Name: DWORD_PERCENT_VALUE                          flags: 0x01F1 TYPE_TCP_UINT32
0x0224 Type: 3   Name: EFFECT_GROUP_ID                              flags: 0x01F2 TYPE_TCP_UINT32
0x0225 Type: 0   Name: EFFECT_GROUP_NAME                            flags: 0x05A9 TYPE_TCP_WCHAR_STR
0x0226 Type: 3   Name: EFFECT_GROUP_TYPE_VALUE_ID                   flags: 0x01F3 TYPE_TCP_UINT32
0x0227 Type: 3   Name: EFFECT_ID                                    flags: 0x01F7 TYPE_TCP_UINT32
0x0228 Type: 2   Name: ELEMENT                                      flags: 0x01F4 TYPE_TCP_DOUBLE_OR_INT_SIGNED
0x0229 Type: 0   Name: EMOTE_INTERRUPTIBLE_FLAG                     flags: 0x01F5 TYPE_TCP_WCHAR_STR
0x022A Type: 3   Name: EMOTE_LENGTH_VALUE_ID                        flags: 0x01F6 TYPE_TCP_UINT32
0x022B Type: 3   Name: EMOTE_TYPE_VALUE_ID                          flags: 0x01F9 TYPE_TCP_UINT32
0x022C Type: 3   Name: EMOTE_VALUE_ID                               flags: 0x01FA TYPE_TCP_UINT32
0x022D Type: 7   Name: ENDED_DATETIME                               flags: 0x01FB TYPE_TCP_DATETIME
0x022E Type: 7   Name: END_DATETIME                                 flags: 0x01F8 TYPE_TCP_DATETIME
0x022F Type: 3   Name: END_ROW_NUMBER                               flags: 0x01FC TYPE_TCP_UINT32
0x0230 Type: 3   Name: ENEMY_BOT_ID                                 flags: 0x01FD TYPE_TCP_UINT32
0x0231 Type: 3   Name: ENTRY_BACKGROUND_IMAGE_RES_ID                flags: 0x01FE TYPE_TCP_UINT32
0x0232 Type: 0   Name: ENTRY_BACKGROUND_IMAGE_RES_TEXT              flags: 0x0200 TYPE_TCP_WCHAR_STR
0x0233 Type: 3   Name: ENTRY_BACKGROUND_IMAGE_RES_TYPE_ID           flags: 0x0201 TYPE_TCP_UINT32
0x0234 Type: 7   Name: ENTRY_DATETIME                               flags: 0x01FF TYPE_TCP_DATETIME
0x0235 Type: 3   Name: ENTRY_IMAGE_RES_ID                           flags: 0x0202 TYPE_TCP_UINT32
0x0236 Type: 0   Name: ENTRY_IMAGE_RES_TEXT                         flags: 0x0203 TYPE_TCP_WCHAR_STR
0x0237 Type: 3   Name: ENTRY_IMAGE_RES_TYPE_ID                      flags: 0x05E8 TYPE_TCP_UINT32
0x0238 Type: 3   Name: ENTRY_MSG_ID                                 flags: 0x0204 TYPE_TCP_UINT32
0x0239 Type: 0   Name: ENTRY_MSG_TEXT                               flags: 0x020F TYPE_TCP_WCHAR_STR
0x023A Type: 3   Name: ENTRY_NUMBER                                 flags: 0x0205 TYPE_TCP_UINT32
0x023B Type: 3   Name: ENTRY_TEMPLATE_RES_ID                        flags: 0x0206 TYPE_TCP_UINT32
0x023C Type: 0   Name: ENTRY_TEMPLATE_RES_TEXT                      flags: 0x0207 TYPE_TCP_WCHAR_STR
0x023D Type: 3   Name: ENTRY_TEMPLATE_RES_TYPE_ID                   flags: 0x0208 TYPE_TCP_UINT32
0x023E Type: 5   Name: ENTRY_TYPE                                   flags: 0x0209 TYPE_TCP_UINT8
0x023F Type: 3   Name: EQUIPPED_SLOT_VALUE_ID                       flags: 0x020A TYPE_TCP_UINT32
0x0240 Type: 3   Name: EQUIP_EFFECT_GROUP_ID                        flags: 0x020B TYPE_TCP_UINT32
0x0241 Type: 3   Name: ERROR_CODE                                   flags: 0x020C TYPE_TCP_UINT32
0x0242 Type: 0   Name: ERROR_COLUMN                                 flags: 0x020D TYPE_TCP_WCHAR_STR
0x0243 Type: 0   Name: ERROR_TEXT                                   flags: 0x020E TYPE_TCP_WCHAR_STR
0x0244 Type: 3   Name: ESTIMATED_OUTPUT                             flags: 0x0210 TYPE_TCP_UINT32
0x0245 Type: 7   Name: EVENT_DATETIME                               flags: 0x05DE TYPE_TCP_DATETIME
0x0246 Type: 3   Name: EVENT_MSG_ID                                 flags: 0x05DC TYPE_TCP_UINT32
0x0247 Type: 3   Name: EVENT_REWARD_ID                              flags: 0x05DD TYPE_TCP_UINT32
0x0248 Type: 3   Name: EVENT_VALUE_ID                               flags: 0x0211 TYPE_TCP_UINT32
0x0249 Type: 0   Name: EXISTS                                       flags: 0x0212 TYPE_TCP_WCHAR_STR
0x024A Type: 7   Name: EXPIRATION_DATETIME                          flags: 0x0213 TYPE_TCP_DATETIME
0x024B Type: 3   Name: EXPIRATION_TIME_MINUTES                      flags: 0x0214 TYPE_TCP_UINT32
0x024C Type: 0   Name: EXPIRES_TEXT                                 flags: 0x0215 TYPE_TCP_WCHAR_STR
0x024D Type: 7   Name: EXPIRE_DATETIME                              flags: 0x0216 TYPE_TCP_DATETIME
0x024E Type: 3   Name: EXPLOSION_FX_ID                              flags: 0x0217 TYPE_TCP_UINT32
0x024F Type: 0   Name: EXPORT_TO_CODE_FLAG                          flags: 0x0604 TYPE_TCP_WCHAR_STR
0x0250 Type: 3   Name: EYE_MATERIAL_PARAMETER_ID                    flags: 0x0218 TYPE_TCP_UINT32
0x0251 Type: 8   Name: FEATURE_FLAGS                                flags: 0x0219 TYPE_TCP_UINT64
0x0252 Type: 0   Name: FILENAME                                     flags: 0x021A TYPE_TCP_WCHAR_STR
0x0253 Type: 5   Name: FILTER_FLAG                                  flags: 0x021B TYPE_TCP_UINT8
0x0254 Type: 5   Name: FILTER_LEVEL_FLAG                            flags: 0x021C TYPE_TCP_UINT8
0x0255 Type: 5   Name: FILTER_TEAM_FLAG                             flags: 0x021D TYPE_TCP_UINT8
0x0256 Type: 3   Name: FIRE_COUNT                                   flags: 0x021F TYPE_TCP_UINT32
0x0257 Type: 3   Name: FIRE_EFFECT_GROUP_ID                         flags: 0x021E TYPE_TCP_UINT32
0x0258 Type: 3   Name: FIRE_FX_ID                                   flags: 0x0220 TYPE_TCP_UINT32
0x0259 Type: 3   Name: FIRE_MODE_SEQUENCE                           flags: 0x0221 TYPE_TCP_UINT32
0x025A Type: 3   Name: FIXED_FOV_DEGREES                            flags: 0x0223 TYPE_TCP_UINT32
0x025B Type: 3   Name: FLIGHT_FX_ID                                 flags: 0x0222 TYPE_TCP_UINT32
0x025C Type: 1   Name: FLOAT_VALUE                                  flags: 0x0224 TYPE_TCP_FLOAT
0x025D Type: 3   Name: FORCED_CHARACTER_LEVEL                       flags: 0x0225 TYPE_TCP_UINT32
0x025E Type: 0   Name: FORCE_DIR_LIGHT_MAP_FLAG                     flags: 0x0226 TYPE_TCP_WCHAR_STR
0x025F Type: 3   Name: FORM_CLASS_RES_ID                            flags: 0x0227 TYPE_TCP_UINT32
0x0260 Type: 5   Name: FORWARD_FLAG                                 flags: 0x0228 TYPE_TCP_UINT8
0x0261 Type: 0   Name: FREE_FOR_ALL_FLAG                            flags: 0x05ED TYPE_TCP_WCHAR_STR
0x0262 Type: 3   Name: FRIENDLY_NAME_MSG_ID                         flags: 0x05F0 TYPE_TCP_UINT32
0x0263 Type: 0   Name: FRIENDLY_NAME_MSG_TEXT                       flags: 0x05EF TYPE_TCP_WCHAR_STR
0x0264 Type: 3   Name: FRIEND_PLAYER_ID                             flags: 0x05EE TYPE_TCP_UINT32
0x0265 Type: 3   Name: FRIEND_TYPE_VALUE_ID                         flags: 0x0229 TYPE_TCP_UINT32
0x0266 Type: 3   Name: FROM_CHARACTER_ID                            flags: 0x022A TYPE_TCP_UINT32
0x0267 Type: 7   Name: FROM_DATETIME                                flags: 0x022B TYPE_TCP_DATETIME
0x0268 Type: 3   Name: FROM_LOCATION_VALUE_ID                       flags: 0x022C TYPE_TCP_UINT32
0x0269 Type: 0   Name: FULL_FLAG                                    flags: 0x022E TYPE_TCP_WCHAR_STR
0x026A Type: 3   Name: FX_DISPLAY_GROUP_RES_ID                      flags: 0x022F TYPE_TCP_UINT32
0x026B Type: 3   Name: FX_ID                                        flags: 0x022D TYPE_TCP_UINT32
0x026C Type: 3   Name: FX_MATERIAL_ID                               flags: 0x0230 TYPE_TCP_UINT32
0x026D Type: 3   Name: FX_MATERIAL_TYPE_VALUE_ID                    flags: 0x0231 TYPE_TCP_UINT32
0x026E Type: 3   Name: FX_PSC_ID                                    flags: 0x0232 TYPE_TCP_UINT32
0x026F Type: 3   Name: FX_SOUND_ID                                  flags: 0x0233 TYPE_TCP_UINT32
0x0270 Type: 3   Name: GAME_BITS                                    flags: 0x0234 TYPE_TCP_UINT32
0x0271 Type: 0   Name: GAME_CLASS_NAME                              flags: 0x0235 TYPE_TCP_WCHAR_STR
0x0272 Type: 3   Name: GAME_CLASS_RES_ID                            flags: 0x0236 TYPE_TCP_UINT32
0x0273 Type: 3   Name: GAME_CONFIG_ID                               flags: 0x0237 TYPE_TCP_UINT32
0x0274 Type: 3   Name: GAME_EVENT_ID                                flags: 0x0238 TYPE_TCP_UINT32
0x0275 Type: 3   Name: GAME_TIP_ID                                  flags: 0x0239 TYPE_TCP_UINT32
0x0276 Type: 3   Name: GENDER_TYPE_VALUE_ID                         flags: 0x023A TYPE_TCP_UINT32
0x0277 Type: 3   Name: GENERATION_VALUE_ID                          flags: 0x023B TYPE_TCP_UINT32
0x0278 Type: 5   Name: GIVE_REWARD_FLAG                             flags: 0x023C TYPE_TCP_UINT8
0x0279 Type: 0   Name: GIVE_XP_FLAG                                 flags: 0x023D TYPE_TCP_WCHAR_STR
0x027A Type: 3   Name: GLOBAL_COOLDOWN_OFFHAND_SECS                 flags: 0x023E TYPE_TCP_UINT32
0x027B Type: 3   Name: GOTO_MAP_GAME_ID                             flags: 0x0240 TYPE_TCP_UINT32
0x027C Type: 3   Name: GROUP_ID                                     flags: 0x023F TYPE_TCP_UINT32
0x027D Type: 3   Name: GROUP_LOC_X                                  flags: 0x0241 TYPE_TCP_UINT32
0x027E Type: 3   Name: GROUP_LOC_Y                                  flags: 0x0242 TYPE_TCP_UINT32
0x027F Type: 3   Name: GROUP_TYPE                                   flags: 0x05EA TYPE_TCP_UINT32
0x0280 Type: 3   Name: GROUP_TYPE_VALUE_ID                          flags: 0x0243 TYPE_TCP_UINT32
0x0281 Type: 0   Name: GSC_PIPE_NAME                                flags: 0x0244 TYPE_TCP_WCHAR_STR
0x0282 Type: 3   Name: HAIR_ASM_ID                                  flags: 0x0245 TYPE_TCP_UINT32
0x0283 Type: 3   Name: HANDLE                                       flags: 0x0246 TYPE_TCP_UINT32
0x0284 Type: 3   Name: HARD_LOGIN_CAP                               flags: 0x0247 TYPE_TCP_UINT32
0x0285 Type: 0   Name: HAS_PHYSICS_ASSET_INST_FLAG                  flags: 0x0248 TYPE_TCP_WCHAR_STR
0x0286 Type: 0   Name: HEADQUARTER_FLAG                             flags: 0x0249 TYPE_TCP_WCHAR_STR
0x0287 Type: 3   Name: HEAD_ASM_ID                                  flags: 0x024A TYPE_TCP_UINT32
0x0288 Type: 0   Name: HEAD_ASSEMBLY                                flags: 0x024B TYPE_TCP_WCHAR_STR
0x0289 Type: 1   Name: HEALING_BOT                                  flags: 0x024D TYPE_TCP_FLOAT
0x028A Type: 1   Name: HEALING_PER_MIN_AVG                          flags: 0x024C TYPE_TCP_FLOAT
0x028B Type: 1   Name: HEALING_PLAYER                               flags: 0x024E TYPE_TCP_FLOAT
0x028C Type: 3   Name: HEALTH                                       flags: 0x024F TYPE_TCP_UINT32
0x028D Type: 3   Name: HEAL_BOT                                     flags: 0x0250 TYPE_TCP_UINT32
0x028E Type: 3   Name: HEAL_PLAYER                                  flags: 0x05BD TYPE_TCP_UINT32
0x028F Type: 1   Name: HEARING_RANGE                                flags: 0x0251 TYPE_TCP_FLOAT
0x0290 Type: 3   Name: HEIGHT                                       flags: 0x0603 TYPE_TCP_UINT32
0x0291 Type: 3   Name: HEX_ATTACK_AGENCY_ID                         flags: 0x0252 TYPE_TCP_UINT32
0x0292 Type: 3   Name: HEX_ATTACK_TYPE                              flags: 0x0253 TYPE_TCP_UINT32
0x0293 Type: 3   Name: HEX_BASE_ID                                  flags: 0x0254 TYPE_TCP_UINT32
0x0294 Type: 3   Name: HEX_BID_AGENCY_ID                            flags: 0x0255 TYPE_TCP_UINT32
0x0295 Type: 3   Name: HEX_BUILDING_ID                              flags: 0x0256 TYPE_TCP_UINT32
0x0296 Type: 3   Name: HEX_PRODUCTION_QUEUE_ID                      flags: 0x0257 TYPE_TCP_UINT32
0x0297 Type: 3   Name: HEX_RESOURCE_ID                              flags: 0x0258 TYPE_TCP_UINT32
0x0298 Type: 3   Name: HEX_STATE                                    flags: 0x0259 TYPE_TCP_UINT32
0x0299 Type: 3   Name: HEX_TERRITORY_AUCTION_ID                     flags: 0x025A TYPE_TCP_UINT32
0x029A Type: 3   Name: HEX_TERRITORY_AUCTION_LOG_ID                 flags: 0x025B TYPE_TCP_UINT32
0x029B Type: 0   Name: HEX_TERRITORY_FLAG                           flags: 0x025C TYPE_TCP_WCHAR_STR
0x029C Type: 3   Name: HEX_TERRITORY_ID                             flags: 0x025E TYPE_TCP_UINT32
0x029D Type: 3   Name: HEX_ZONE_ID                                  flags: 0x025D TYPE_TCP_UINT32
0x029E Type: 3   Name: HEX_ZONE_REGION_ID                           flags: 0x025F TYPE_TCP_UINT32
0x029F Type: 1   Name: HIBERNATE_DELAY_RATE                         flags: 0x05E2 TYPE_TCP_FLOAT
0x02A0 Type: 0   Name: HIBERNATE_INVULNERABILITY_FLAG               flags: 0x0260 TYPE_TCP_WCHAR_STR
0x02A1 Type: 3   Name: HIBERNATE_ON_IDLE_SEC                        flags: 0x0261 TYPE_TCP_UINT32
0x02A2 Type: 0   Name: HIDE_HELMET_FLAG                             flags: 0x0264 TYPE_TCP_WCHAR_STR
0x02A3 Type: 1   Name: HIT_COLLISION_HEIGHT                         flags: 0x0265 TYPE_TCP_FLOAT
0x02A4 Type: 1   Name: HIT_COLLISION_RADIUS                         flags: 0x0262 TYPE_TCP_FLOAT
0x02A5 Type: 3   Name: HIT_COUNT                                    flags: 0x0263 TYPE_TCP_UINT32
0x02A6 Type: 3   Name: HIT_EFFECT_GROUP_ID                          flags: 0x0266 TYPE_TCP_UINT32
0x02A7 Type: 3   Name: HIT_PLAYER_COUNT                             flags: 0x0267 TYPE_TCP_UINT32
0x02A8 Type: 3   Name: HIT_POINTS                                   flags: 0x0268 TYPE_TCP_UINT32
0x02A9 Type: 3   Name: HOME_MAP_GAME_ID                             flags: 0x05CD TYPE_TCP_UINT32
0x02AA Type: 0   Name: HOST_AUCTION                                 flags: 0x0269 TYPE_TCP_WCHAR_STR
0x02AB Type: 0   Name: HOST_CHAT                                    flags: 0x060B TYPE_TCP_WCHAR_STR
0x02AC Type: 0   Name: HOST_GSC                                     flags: 0x026A TYPE_TCP_WCHAR_STR
0x02AD Type: 3   Name: HOST_IP                                      flags: 0x026B TYPE_TCP_UINT32
0x02AE Type: 0   Name: HOST_JOB_MGR                                 flags: 0x026C TYPE_TCP_WCHAR_STR
0x02AF Type: 0   Name: HOST_LOGIN                                   flags: 0x026D TYPE_TCP_WCHAR_STR
0x02B0 Type: 0   Name: HOST_MATCH_MGR                               flags: 0x026E TYPE_TCP_WCHAR_STR
0x02B1 Type: 0   Name: HOST_NAME                                    flags: 0x026F TYPE_TCP_WCHAR_STR
0x02B2 Type: 8   Name: HOST_NET_ADDR                                flags: 0x05BC TYPE_TCP_UINT64
0x02B3 Type: 3   Name: HOST_PORT                                    flags: 0x0270 TYPE_TCP_UINT32
0x02B4 Type: 0   Name: HOST_SQL_CHAT                                flags: 0x0271 TYPE_TCP_WCHAR_STR
0x02B5 Type: 0   Name: HOST_SQL_GAME                                flags: 0x0272 TYPE_TCP_WCHAR_STR
0x02B6 Type: 0   Name: HOST_SQL_LOGIN                               flags: 0x0273 TYPE_TCP_WCHAR_STR
0x02B7 Type: 0   Name: HOST_SQL_LOGS                                flags: 0x0274 TYPE_TCP_WCHAR_STR
0x02B8 Type: 0   Name: HOST_SQL_STATS                               flags: 0x05FE TYPE_TCP_WCHAR_STR
0x02B9 Type: 0   Name: HOST_VOICE                                   flags: 0x0275 TYPE_TCP_WCHAR_STR
0x02BA Type: 0   Name: HOST_VOIP                                    flags: 0x05C4 TYPE_TCP_WCHAR_STR
0x02BB Type: 0   Name: HOST_WORLD_MGR                               flags: 0x0276 TYPE_TCP_WCHAR_STR
0x02BC Type: 3   Name: HOURS                                        flags: 0x0277 TYPE_TCP_UINT32
0x02BD Type: 1   Name: HQ_BONUS                                     flags: 0x058C TYPE_TCP_FLOAT
0x02BE Type: 3   Name: HQ_PROGRESS                                  flags: 0x0278 TYPE_TCP_UINT32
0x02BF Type: 3   Name: ICON_ID                                      flags: 0x0279 TYPE_TCP_UINT32
0x02C0 Type: 3   Name: ICON_INDEX                                   flags: 0x027A TYPE_TCP_UINT32
0x02C1 Type: 0   Name: IGNORE_FLAG                                  flags: 0x0601 TYPE_TCP_WCHAR_STR
0x02C2 Type: 3   Name: IMPACT_FX_GROUP_ID                           flags: 0x027B TYPE_TCP_UINT32
0x02C3 Type: 3   Name: IMPACT_FX_GROUP_TYPE_VALUE_ID                flags: 0x027C TYPE_TCP_UINT32
0x02C4 Type: 0   Name: INCLINE_FLAG                                 flags: 0x027D TYPE_TCP_WCHAR_STR
0x02C5 Type: 3   Name: INSTANCE_COUNT                               flags: 0x027E TYPE_TCP_UINT32
0x02C6 Type: 3   Name: INSTANCE_LIMIT                               flags: 0x027F TYPE_TCP_UINT32
0x02C7 Type: 0   Name: INSTANCE_UPDATE_FLAG                         flags: 0x0280 TYPE_TCP_WCHAR_STR
0x02C8 Type: 1   Name: INST_LOC_X                                   flags: 0x0281 TYPE_TCP_FLOAT
0x02C9 Type: 1   Name: INST_LOC_Y                                   flags: 0x0282 TYPE_TCP_FLOAT
0x02CA Type: 1   Name: INST_LOC_Z                                   flags: 0x0283 TYPE_TCP_FLOAT
0x02CB Type: 3   Name: INST_ROTATION                                flags: 0x0284 TYPE_TCP_UINT32
0x02CC Type: 0   Name: INTERRUPT_FIRE_ANIM_ON_REFIRE_FLAG           flags: 0x0285 TYPE_TCP_WCHAR_STR
0x02CD Type: 0   Name: INT_VALUE                                    flags: 0x0287 TYPE_TCP_WCHAR_STR
0x02CE Type: 0   Name: INT_VALUE2                                   flags: 0x0288 TYPE_TCP_WCHAR_STR
0x02CF Type: 2   Name: INVENTORY_ID                                 flags: 0x0286 TYPE_TCP_DOUBLE_OR_INT_SIGNED
0x02D0 Type: 3   Name: INVENTORY_STATE_ID                           flags: 0x028D TYPE_TCP_UINT32
0x02D1 Type: 0   Name: INVITEE_NAME                                 flags: 0x028E TYPE_TCP_WCHAR_STR
0x02D2 Type: 3   Name: INVITE_FLAGS                                 flags: 0x0289 TYPE_TCP_UINT32
0x02D3 Type: 3   Name: INV_REPLICATION_STATE                        flags: 0x028A TYPE_TCP_UINT32
0x02D4 Type: 0   Name: IN_HAND_DEVICE_FLAG                          flags: 0x028B TYPE_TCP_WCHAR_STR
0x02D5 Type: 3   Name: IP_ADDRESS                                   flags: 0x028C TYPE_TCP_UINT32
0x02D6 Type: 3   Name: IP_PORT                                      flags: 0x028F TYPE_TCP_UINT32
0x02D7 Type: 5   Name: IS_PVP_FLAG                                  flags: 0x0290 TYPE_TCP_UINT8
0x02D8 Type: 3   Name: ITEM_BIND_TYPE_VALUE_ID                      flags: 0x0291 TYPE_TCP_UINT32
0x02D9 Type: 3   Name: ITEM_COUNT                                   flags: 0x0292 TYPE_TCP_UINT32
0x02DA Type: 3   Name: ITEM_ID                                      flags: 0x0293 TYPE_TCP_UINT32
0x02DB Type: 3   Name: ITEM_MESH_ASM_TYPE_VALUE_ID                  flags: 0x0294 TYPE_TCP_UINT32
0x02DC Type: 0   Name: ITEM_NAME                                    flags: 0x0295 TYPE_TCP_WCHAR_STR
0x02DD Type: 3   Name: ITEM_NAME_MSG_ID                             flags: 0x0296 TYPE_TCP_UINT32
0x02DE Type: 3   Name: ITEM_SEL_LIST_ID                             flags: 0x0297 TYPE_TCP_UINT32
0x02DF Type: 3   Name: ITEM_SUBTYPE_VALUE_ID                        flags: 0x057D TYPE_TCP_UINT32
0x02E0 Type: 3   Name: ITEM_TYPE_VALUE_ID                           flags: 0x0298 TYPE_TCP_UINT32
0x02E1 Type: 0   Name: JUMP_FLAG                                    flags: 0x0299 TYPE_TCP_WCHAR_STR
0x02E2 Type: 0   Name: KEYBIND_ALT_FIRE                             flags: 0x029A TYPE_TCP_WCHAR_STR
0x02E3 Type: 0   Name: KEYBIND_BACK                                 flags: 0x029B TYPE_TCP_WCHAR_STR
0x02E4 Type: 0   Name: KEYBIND_FIRE                                 flags: 0x029C TYPE_TCP_WCHAR_STR
0x02E5 Type: 0   Name: KEYBIND_FORWARD                              flags: 0x029D TYPE_TCP_WCHAR_STR
0x02E6 Type: 0   Name: KEYBIND_JUMP                                 flags: 0x029E TYPE_TCP_WCHAR_STR
0x02E7 Type: 0   Name: KEYBIND_LEFT                                 flags: 0x057A TYPE_TCP_WCHAR_STR
0x02E8 Type: 0   Name: KEYBIND_OPEN_EQUIP                           flags: 0x029F TYPE_TCP_WCHAR_STR
0x02E9 Type: 0   Name: KEYBIND_PICKUP_PUTDOWN_DEPLOYABLE            flags: 0x02A0 TYPE_TCP_WCHAR_STR
0x02EA Type: 0   Name: KEYBIND_REST                                 flags: 0x02A1 TYPE_TCP_WCHAR_STR
0x02EB Type: 0   Name: KEYBIND_RIGHT                                flags: 0x02A2 TYPE_TCP_WCHAR_STR
0x02EC Type: 0   Name: KEYBIND_SELECT_JETPACK                       flags: 0x02A3 TYPE_TCP_WCHAR_STR
0x02ED Type: 0   Name: KEYBIND_SELECT_MELEE                         flags: 0x02A4 TYPE_TCP_WCHAR_STR
